source_center,destination_center,total_trips,median_delay_ratio,mean_delay_ratio,p90_delay_ratio,std_delay_ratio,sla_breaches,od_mean_dist_km,od_reliability,breach_rate,is_chronic,breach_share_pct
IND712310AAE,IND712124AAA,30,3.704676357512799,3.8855465026228235,5.619044943311932,1.147345689259935,30,19.17203333333333,0.0,1.0,True,0.12572817568417083
IND712311AAA,IND700088AAA,30,3.517240166468908,4.385134496550255,7.061174357693831,2.305631023279063,30,31.377493333333334,0.0,1.0,True,0.12572817568417083
IND000000ACB,IND501359AAE,29,1.76663926239409,1.7873366434570996,1.9825733238143632,0.16279355994783,29,1711.483624137931,0.0,1.0,True,0.12153723649469846
IND110043AAA,IND110078AAA,33,1.684209639889663,1.8417784377643684,2.8499985750007126,0.6408878574352505,29,19.61290606060606,0.2121212121212121,0.8787878787878788,True,0.12153723649469846
IND110044AAB,IND110030AAD,30,1.6214274513613187,1.758120533156767,2.5399983066677954,0.5222816044377098,29,15.40058,0.0333333333333333,0.9666666666666667,True,0.12153723649469846
IND110064AAA,IND000000ACB,39,1.9199996160000767,6.13870949524126,12.373582571022157,5.261531095606277,29,64.21779743589744,0.2564102564102564,0.7435897435897436,True,0.12153723649469846
IND142001AAB,IND152026AAA,29,1.7049177532921715,1.71320614624024,2.0957970595709527,0.3300672626750366,29,79.4183172413793,0.0,1.0,True,0.12153723649469846
IND421302AAG,IND400072AAA,29,2.421051357341391,2.779615352681835,3.748808131874102,1.1294944855443048,29,27.990175862068966,0.0,1.0,True,0.12153723649469846
IND560083AAB,IND562132AAA,31,1.714285306122546,2.117984500655175,4.249999034091128,1.2202332493049084,29,41.19656129032258,0.0967741935483871,0.9354838709677419,True,0.12153723649469846
IND712311AAA,IND700026AAC,29,2.617646288927562,2.906523161180467,4.028570277551349,1.3690396882703857,29,34.23479310344828,0.0,1.0,True,0.12153723649469846
IND712311AAA,IND700065AAA,29,3.363634834711439,3.873341097885321,5.869957898257626,1.2894008309414362,29,21.31994482758621,0.0,1.0,True,0.12153723649469846
IND160102AAC,IND160002AAC,28,1.9852935337371957,1.9960195405039511,2.3887552862707397,0.4760008735109571,28,36.718425,0.0,1.0,True,0.1173462973052261
IND400102AAC,IND421302AAG,28,2.998014783189907,4.527186416690498,9.560314576783446,2.879953423811495,28,34.05398928571429,0.0,1.0,True,0.1173462973052261
IND462001AAA,IND462022AAA,28,4.136360027551365,4.936140446327421,7.339934073136223,2.2927973194532645,28,15.601525,0.0,1.0,True,0.1173462973052261
IND560099AAB,IND560043AAC,37,1.4799994080002368,1.616418887495077,2.6461785890472904,0.5750882226834444,28,29.66365945945946,0.2972972972972973,0.7567567567567568,True,0.1173462973052261
IND560099AAB,IND560058AAB,38,1.4672615771152944,1.6502434069527938,2.5636757506468295,0.6080022532163538,28,39.05042368421052,0.3157894736842105,0.7368421052631579,True,0.1173462973052261
IND600044AAE,IND600056AAB,29,1.857142326530764,1.9706700033501163,2.590475441105143,0.7282938017306543,28,41.04391379310345,0.0344827586206896,0.9655172413793104,True,0.1173462973052261
IND600056AAB,IND600110AAA,28,1.9374995963542507,2.014681398559786,2.464705385471936,0.4425163466146009,28,52.22629642857142,0.0,1.0,True,0.1173462973052261
IND000000ACB,IND110030AAD,28,1.642065257108972,1.849925793703061,2.8369266589659317,0.6988083806030332,27,52.54057142857143,0.0714285714285714,0.9642857142857143,True,0.11315535811575374
IND121002AAB,IND000000ACB,29,1.7647056747405088,2.3953403075570954,4.105049876980579,1.8159708112722976,27,73.98992758620689,0.1034482758620689,0.9310344827586207,True,0.11315535811575374
IND380006AAB,IND382430AAB,27,2.9090882644652143,2.9730137973913617,3.612497742188912,0.6457139576933494,27,18.14289259259259,0.0,1.0,True,0.11315535811575374
IND395023AAD,IND395006AAA,27,1.8571415306131924,1.9872356678989946,2.415382757397879,0.3797464069077433,27,15.23582962962963,0.0,1.0,True,0.11315535811575374
IND411033AAA,IND413002AAA,27,1.5762711196495287,1.597928989690755,1.7930042501568149,0.18981135378972777,27,310.7086444444445,0.0,1.0,True,0.11315535811575374
IND421302AAR,IND421004AAA,27,3.3999966000034,3.681157528583214,5.057138387759152,1.2010315745551081,27,14.225648148148148,0.0,1.0,True,0.11315535811575374
IND712311AAA,IND751002AAB,27,1.6739725568774644,1.862712498342284,2.071883782170154,0.7905200937841286,27,519.7379296296297,0.0,1.0,True,0.11315535811575374
IND110037AAM,IND202001AAB,26,1.7370086338454542,1.8083575719275495,2.0114791438127257,0.3111464376375672,26,147.46102692307693,0.0,1.0,True,0.10896441892628138
IND121001AAA,IND121004AAB,27,1.8999981000019,2.492848459508914,4.636359421491437,1.3562632606248464,26,12.093322222222222,0.037037037037037,0.9629629629629629,True,0.10896441892628138
IND400701AAB,IND421302AAG,26,2.6052617867043226,3.0658158594431706,4.814812957476712,1.6205537510134718,26,22.603180769230768,0.0,1.0,True,0.10896441892628138
IND421302AAG,IND000000ACB,26,1.8099214174346718,1.8576431017780852,2.0575689642712582,0.2066351545814616,26,1410.411207692308,0.0,1.0,True,0.10896441892628138
IND110037AAM,IND209304AAA,25,1.9525139119409525,1.9930025816658505,2.2126532574429416,0.22885866152243559,25,493.421516,0.0,1.0,True,0.10477347973680902
IND160002AAC,IND000000ACA,28,1.3989487243100447,1.6176697149974708,2.1027415929180235,0.39562291865248594,25,114.2613357142857,0.1785714285714285,0.8928571428571429,True,0.10477347973680902
IND160002AAC,IND160102AAC,25,1.6969691827366111,1.8360241886114212,2.3711960102903413,0.4164817165347642,25,36.942116,0.04,1.0,True,0.10477347973680902
IND462022AAA,IND209304AAA,25,1.8899296981281104,1.8950990873408116,2.1257031914187423,0.18031463584483803,25,601.146884,0.0,1.0,True,0.10477347973680902
IND620020AAA,IND621112AAA,25,1.8999981000019,1.9111894077947267,2.4060582301829636,0.347043985645434,25,16.064864,0.0,1.0,True,0.10477347973680902
IND712124AAA,IND712103AAA,25,2.8999971000029,2.924583066337646,3.2436332985153,0.3072938386268491,25,11.6405,0.0,1.0,True,0.10477347973680902
IND751002AAB,IND712311AAA,25,2.066037670879319,2.282009004991683,3.1890566168722443,0.7584099088885089,25,438.172072,0.0,1.0,True,0.10477347973680902
IND380054AAA,IND382430AAB,24,2.0520821260134445,2.228434288078769,3.250978296810274,0.6348889936031227,24,22.846950000000003,0.0,1.0,True,0.10058254054733666
IND421302AAG,IND501359AAE,24,1.5934764155138974,1.623908183089941,1.7487858218144363,0.11228973469785586,24,841.1755708333334,0.0,1.0,True,0.10058254054733666
