node_id,hub_name,in_degree,out_degree,betweenness,closeness,clustering,in_degree_norm,out_degree_norm,betweenness_norm,closeness_norm,clustering_norm,importance_score,is_critical,sla_breach_count,sla_breach_rate,breach_share_pct,total_trips
IND332709AAA,Khandela_PlsrdDPP_D (Rajasthan),1,0,0.0,0.06591609730371717,0.0,0.2222222222222222,0.0,0.0,3.5797141217148116,0.0,3.801936343937034,False,6,1.0,0.012572817568417083,6
IND332715AAB,Shrimadhopur_RLSTNDPP_D (Rajasthan),1,0,0.0,0.06591609730371717,0.0,0.2222222222222222,0.0,0.0,3.5797141217148116,0.0,3.801936343937034,False,1,1.0,0.0020954695947361804,1
IND783348AAA,Bilasipara_Wardno5_D (Assam),1,1,0.0036533281745264067,0.05855042053138565,0.0,0.2222222222222222,0.2127659574468085,0.15024157989271955,3.1797053494051832,0.0,3.7649351089669336,False,21,1.0,0.044004861489459784,21
IND275303AAA,Dohrighat_AzmrdDPP_D (Uttar Pradesh),1,1,0.000835949939731246,0.05973010843108589,0.0,0.2222222222222222,0.2127659574468085,0.03437808859663349,3.2437708145421023,0.0,3.7131370828077666,False,8,1.0,0.016763756757889443,8
IND783129AAA,Lakhipur_WrdN4DPP_D (Assam),1,1,0.003649235851723984,0.05390052856142139,0.0,0.2222222222222222,0.2127659574468085,0.1500732848439599,2.9271830577313604,0.0,3.512244522244351,False,11,1.0,0.023050165542097985,11
IND306001AAA,MarwarJn_SndbrDPP_D (Rajasthan),1,0,0.0,0.060363208083310145,0.0,0.2222222222222222,0.0,0.0,3.278152640199613,0.0,3.500374862421835,False,3,1.0,0.006286408784208541,3
IND276140AAA,Jiyanpur_Central_DPP_1 (Uttar Pradesh),1,1,0.0004263456301433057,0.05491834747851623,0.0,0.2222222222222222,0.2127659574468085,0.017533284170779696,2.982457882848584,0.0,3.4349793466883947,False,5,1.0,0.010477347973680901,5
IND794101AAA,Tura_Sracmplx_D (Meghalaya),1,1,0.0036451435289215615,0.04993485774406223,0.0,0.2222222222222222,0.2127659574468085,0.14990498979520023,2.711818853725727,0.0,3.296712023189958,False,10,1.0,0.020954695947361802,10
IND276129AAA,Chiraiyakot_KamalDPP_D (Uttar Pradesh),1,1,1.674132055536541e-05,0.05082404462518586,0.0,0.2222222222222222,0.2127659574468085,0.0006884797449259044,2.7601080420333353,0.0,3.195784701447292,False,2,1.0,0.004190939189472361,2
IND624001AAA,Dindigul_Central_D_1 (Tamil Nadu),2,3,2.0833643357788063e-05,0.0013580931263858095,0.2,0.4444444444444444,0.6382978723404256,0.0008567747936855698,0.07375414112772335,2.0,3.1573532327062788,False,30,0.9090909090909091,0.06286408784208541,33
IND470004AAA,Sagar_Bahreya_I (Madhya Pradesh),1,4,0.0008169764431018319,0.0008130081300813008,0.2,0.2222222222222222,0.851063829787234,0.03359781155238413,0.0441521389063922,2.0,3.1510360024682322,False,7,1.0,0.014668287163153262,7
IND273014AAB,Gorakhpur_Matriprm_IP (Uttar Pradesh),6,6,0.006163410169794194,0.004899825783972125,0.0,1.3333333333333333,1.2765957446808511,0.2534676429819435,0.26609548001620303,0.0,3.129492201012331,False,87,0.9354838709677419,0.1823058547420477,93
IND641607AAA,Tirupur_Koliplm_I (Tamil Nadu),2,3,4.2411345406925695e-05,0.0041158536585365856,0.16666666666666666,0.4444444444444444,0.6382978723404256,0.001744148687145624,0.22352020321361055,1.6666666666666665,2.9746733353522927,False,64,1.0,0.13411005406311555,64
