trip_uuid,source_center,destination_center,route_type,segment_osrm_time,segment_actual_time,baseline_pred_min,graph_pred_min,baseline_err_pct,graph_err_pct,graph_wins
trip-153851629841510532,IND518102AAA,IND518002AAA,FTL,129.0,262.0,244.38,245.64,6.724030006932848,6.245829840344577,True
trip-153859976887812785,IND518102AAA,IND518002AAA,FTL,128.0,240.0,236.54,242.02,1.4414405822753906,0.8436302058760722,True
trip-153816949685002144,IND518206AAA,IND518002AAA,FTL,83.0,136.0,136.84,146.09,0.6159838508157169,7.420951311750912,False
trip-153825582024373194,IND518206AAA,IND518222AAA,FTL,43.0,49.0,42.24,45.48,13.786588396344865,7.177265651528019,True
trip-153825582024373194,IND518222AAA,IND518002AAA,FTL,38.0,56.0,61.41,53.79,9.660605021885463,3.9510294462214803,True
trip-153817154942648768,IND518401AAA,IND518422AAB,FTL,24.0,50.0,55.7,51.47,11.404991149902344,2.9327349977586863,True
trip-153825730923276362,IND518401AAA,IND518422AAB,FTL,21.0,35.0,37.62,35.03,7.488980974469866,0.08886739571652567,True
trip-153833865847707261,IND518401AAA,IND518422AAB,FTL,25.0,44.0,49.07,44.97,11.525258150967685,2.205052574383227,True
trip-153842984909596386,IND518401AAA,IND518422AAB,FTL,23.0,39.0,43.5,38.93,11.545973557692307,0.18499034177170579,True
trip-153851629841510532,IND518401AAA,IND518422AAB,FTL,24.0,40.0,43.87,40.63,9.669694900512695,1.5714400196516998,True
trip-153859976887812785,IND518401AAA,IND518422AAB,FTL,23.0,38.0,43.47,38.79,14.383366233424136,2.0669209703412075,True
trip-153817154942648768,IND518422AAB,IND518102AAA,FTL,76.0,158.0,143.2,149.16,9.369813943211035,5.5924121255016415,True
trip-153833865847707261,IND518422AAB,IND518102AAA,FTL,75.0,150.0,145.83,146.74,2.781402587890625,2.173114132797101,True
trip-153851629841510532,IND518422AAB,IND518102AAA,FTL,75.0,161.0,144.34,150.75,10.348747679905863,6.368621929182483,True
trip-153859976887812785,IND518422AAB,IND518102AAA,FTL,76.0,162.0,148.95,147.46,8.05718692732446,8.976725440667849,False
trip-153816949685002144,IND518501AAA,IND518124AAA,FTL,37.0,63.0,64.85,65.33,2.9378134106832836,3.6910928406412613,False
trip-153825582024373194,IND518501AAA,IND518124AAA,FTL,38.0,60.0,63.85,65.72,6.4206186930338545,9.533880335472961,False
trip-153833857795187422,IND518501AAA,IND518124AAA,FTL,38.0,62.0,63.03,66.75,1.6679579211819555,7.656169722018409,False
trip-153842996873268823,IND518501AAA,IND518124AAA,FTL,37.0,53.0,59.24,60.83,11.767570927457989,14.777413265736783,False
trip-153807505454764367,IND520011AAA,IND521185AAA,Carting,29.0,52.0,58.34,63.45,12.184282449575571,22.012291679814354,False
trip-153816077421519787,IND520011AAA,IND521185AAA,Carting,27.0,41.0,41.82,41.97,2.0079542950886053,2.365828091485624,False
trip-153825815451066106,IND520011AAA,IND521185AAA,Carting,29.0,54.0,55.81,56.83,3.3462383128978592,5.23374916270131,False
trip-153841945643791651,IND521001AAA,IND521165AAA,FTL,25.0,45.0,46.67,45.74,3.719270494249132,1.6347343767288673,True
trip-153850824884573883,IND521001AAA,IND521165AAA,FTL,27.0,56.0,56.56,56.33,1.002911158970424,0.591016186849063,True
trip-153860540436399679,IND521001AAA,IND521225AAB,FTL,51.0,116.0,124.03,119.57,6.9221562352673764,3.078845783558013,True
trip-153834294801997680,IND521105AAA,IND534001AAA,FTL,17.0,35.0,33.67,35.2,3.814119611467634,0.5747839205944923,True
trip-153841945643791651,IND521165AAA,IND521225AAB,FTL,26.0,224.0,217.34,253.19,2.9752595084054128,13.032207825434089,False
trip-153850824884573883,IND521165AAA,IND521225AAB,FTL,25.0,63.0,62.35,100.62,1.0357811337425595,59.70869870724276,False
trip-153807505454764367,IND521185AAA,IND521225AAB,Carting,46.0,96.0,108.82,103.44,13.352751731872559,7.745431632923531,True
trip-153816077421519787,IND521185AAA,IND521225AAB,Carting,46.0,102.0,98.7,96.73,3.231684366861979,5.164434561257141,False
trip-153825815451066106,IND521185AAA,IND521225AAB,Carting,45.0,88.0,100.7,89.11,14.432187513871627,1.2660825829285698,True
trip-153807476745712268,IND521201AAA,IND521105AAA,FTL,19.0,33.0,31.75,34.53,3.8001378377278647,4.648075965244076,False
trip-153802294243762443,IND521225AAB,IND501359AAE,FTL,292.0,423.0,564.72,479.14,33.504116337913715,13.27084666461262,True
